Product Type,Product Weight (kg),Purpose,Vehicle Type,maxWeightCapacity
Fresh Vegetables,2438,perishable goods,Small Refrigerated Truck,4317
Leafy Greens,189,perishable goods,Small Refrigerated Van,751
Vegetables,13554,crops,10 Wheeler Dump Truck,14413
Chickens,2796,livestock,Medium Livestock Truck,3023
Milk,6470,perishable goods,Large Refrigerated Truck,8002
Goats,6240,livestock,Large Livestock Truck,7046
Eggs,9134,perishable goods,10 wheeler Reefer Truck,10464
Milk,7902,perishable goods,Large Refrigerated Truck,9079
Pigs,4222,livestock,Large Livestock Truck,4855
Pigs,7549,livestock,10 wheeler Livestock Truck,8181
Chickens,5034,livestock,Large Livestock Truck,5652
Corn,4334,crops,Heavy Duty Pickup Truck,6169
Meat,7168,perishable goods,Large Refrigerated Truck,7871
Cows,5889,livestock,Large Livestock Truck,7351
Pigs,6660,livestock,Large Livestock Truck,8227
Milk,11202,perishable goods,10 wheeler Reefer Truck,11455
Pigs,1754,livestock,Medium Livestock Truck,2190
Eggs,6667,perishable goods,Large Refrigerated Truck,7302
Rice,2977,crops,Large Pickup Truck,4920
Milk,10164,perishable goods,10 wheeler Reefer Truck,10629
Eggs,7480,perishable goods,Large Refrigerated Truck,8284
Pigs,8799,livestock,10 wheeler Livestock Truck,9289
Cows,3747,livestock,Large Livestock Truck,3950
Fresh Vegetables,9589,perishable goods,10 wheeler Reefer Truck,11221
Meat,10787,perishable goods,10 wheeler Reefer Truck,12697
Chickens,11393,livestock,10 wheeler Livestock Truck,12449
Pigs,11421,livestock,10 wheeler Livestock Truck,11586
Leafy Greens,5287,perishable goods,Large Refrigerated Truck,6149
Fruits,12593,crops,10 Wheeler Dump Truck,14087
Goats,6863,livestock,Large Livestock Truck,7767
Frozen Fish,10212,perishable goods,10 wheeler Reefer Truck,10717
Chickens,6809,livestock,Large Livestock Truck,7270
Fruits,3576,crops,Heavy Duty Pickup Truck,4377
Meat,3504,perishable goods,Medium Refrigerated Truck,4346
Goats,4017,livestock,Large Livestock Truck,5065
Vegetables,11963,crops,10 Wheeler Dump Truck,12251
Vegetables,2548,crops,Elf Truck,3338
Milk,4186,perishable goods,Medium Refrigerated Truck,5701
Frozen Fish,9506,perishable goods,10 wheeler Reefer Truck,10472
Meat,2271,perishable goods,Small Refrigerated Truck,3399
Goats,1266,livestock,Small Livestock Truck,1662
Frozen Fish,9584,perishable goods,10 wheeler Reefer Truck,9912
Eggs,9908,perishable goods,10 wheeler Reefer Truck,10559
Fruits,2022,crops,Large Pickup Truck,2440
Vegetables,7268,crops,Dropside Truck,7391
Cows,6377,livestock,Large Livestock Truck,8011
Rice,13415,crops,10 Wheeler Dump Truck,13943
Corn,8130,crops,Dropside Truck,9102
Corn,13240,crops,10 Wheeler Dump Truck,14481
Cows,11545,livestock,10 wheeler Livestock Truck,11912
Fruits,8464,crops,Dropside Truck,10423
Eggs,6163,perishable goods,Large Refrigerated Truck,7314
Fresh Vegetables,1004,perishable goods,Medium Refrigerated Van,2906
Meat,11613,perishable goods,10 wheeler Reefer Truck,12920
Vegetables,5199,crops,Dropside Truck,5862
Pigs,6187,livestock,Large Livestock Truck,6803
Eggs,11827,perishable goods,10 wheeler Reefer Truck,12303
Fruits,3098,crops,Large Pickup Truck,3908
Fruits,111,crops,Motorcyle with Box,1718
Corn,13974,crops,10 Wheeler Dump Truck,15639
Fruits,10245,crops,10 Wheeler Cargo Truck,10859
Milk,3547,perishable goods,Medium Refrigerated Truck,4944
Rice,13733,crops,10 Wheeler Dump Truck,15023
Chickens,9648,livestock,10 wheeler Livestock Truck,10649
Pigs,4957,livestock,Large Livestock Truck,6048
Frozen Fish,7977,perishable goods,Large Refrigerated Truck,8245
Fresh Vegetables,5561,perishable goods,Large Refrigerated Truck,5988
Corn,5260,crops,Dropside Truck,6829
Frozen Fish,5594,perishable goods,Large Refrigerated Truck,7570
Chickens,7856,livestock,10 wheeler Livestock Truck,8863
Leafy Greens,8563,perishable goods,Large Refrigerated Truck,10303
Leafy Greens,6782,perishable goods,Large Refrigerated Truck,7165
Vegetables,14190,crops,10 Wheeler Dump Truck,15570
Leafy Greens,1205,perishable goods,Large Refrigerated Van,1819
Corn,9810,crops,10 Wheeler Cargo Truck,9931
Cows,5160,livestock,Large Livestock Truck,6819
Frozen Fish,21,perishable goods,Small Refrigerated Van,797
Corn,4589,crops,Dropside Truck,4988
Leafy Greens,837,perishable goods,Medium Refrigerated Van,1297
Leafy Greens,9668,perishable goods,10 wheeler Reefer Truck,10067
Chickens,9671,livestock,10 wheeler Livestock Truck,11220
Milk,3194,perishable goods,Medium Refrigerated Truck,4981
Rice,12353,crops,10 Wheeler Dump Truck,13556
Fresh Vegetables,6339,perishable goods,Large Refrigerated Truck,7528
Corn,13089,crops,10 Wheeler Dump Truck,13591
Rice,5156,crops,Dropside Truck,6179
Milk,10245,perishable goods,10 wheeler Reefer Truck,11613
Frozen Fish,9627,perishable goods,10 wheeler Reefer Truck,9741
Chickens,1491,livestock,Small Livestock Truck,2223
Eggs,5344,perishable goods,Large Refrigerated Truck,6722
Goats,8293,livestock,10 wheeler Livestock Truck,10244
Pigs,7358,livestock,10 wheeler Livestock Truck,7687
Vegetables,12983,crops,10 Wheeler Dump Truck,14624
Frozen Fish,9023,perishable goods,10 wheeler Reefer Truck,10290
Goats,8315,livestock,10 wheeler Livestock Truck,10091
Meat,2277,perishable goods,Small Refrigerated Truck,3800
Cows,6351,livestock,Large Livestock Truck,7968
Frozen Fish,3184,perishable goods,Medium Refrigerated Truck,3972
Cows,6214,livestock,Large Livestock Truck,6763
Corn,8160,crops,Dropside Truck,8390
Corn,10268,crops,10 Wheeler Cargo Truck,11517
Pigs,620,livestock,Small Livestock Truck,1156
Pigs,6769,livestock,Large Livestock Truck,7635
Vegetables,1744,crops,Elf Truck,3522
Leafy Greens,4238,perishable goods,Medium Refrigerated Truck,4381
Leafy Greens,11689,perishable goods,10 wheeler Reefer Truck,13338
Fresh Vegetables,9164,perishable goods,10 wheeler Reefer Truck,10085
Fruits,8850,crops,Dropside Truck,9833
Frozen Fish,6928,perishable goods,Large Refrigerated Truck,8648
Milk,5530,perishable goods,Large Refrigerated Truck,6270
Fruits,12239,crops,10 Wheeler Dump Truck,12717
Chickens,3651,livestock,Large Livestock Truck,5386
Frozen Fish,6996,perishable goods,Large Refrigerated Truck,7952
Cows,1616,livestock,Medium Livestock Truck,2272
Pigs,7932,livestock,10 wheeler Livestock Truck,9536
Pigs,8961,livestock,10 wheeler Livestock Truck,10123
Eggs,8850,perishable goods,Large Refrigerated Truck,10780
Frozen Fish,2767,perishable goods,Small Refrigerated Truck,4025
Goats,2958,livestock,Medium Livestock Truck,3354
Rice,7828,crops,Dropside Truck,9783
Meat,1159,perishable goods,Medium Refrigerated Van,1498
Pigs,3330,livestock,Large Livestock Truck,5315
Fresh Vegetables,2033,perishable goods,Small Refrigerated Truck,2811
Eggs,11248,perishable goods,10 wheeler Reefer Truck,11839
Meat,10335,perishable goods,10 wheeler Reefer Truck,11397
Chickens,11003,livestock,10 wheeler Livestock Truck,12805
Fresh Vegetables,7015,perishable goods,Large Refrigerated Truck,8721
Milk,8490,perishable goods,Large Refrigerated Truck,8833
Chickens,3740,livestock,Large Livestock Truck,3917
Eggs,7491,perishable goods,Large Refrigerated Truck,8930
Corn,8761,crops,10 Wheeler Cargo Truck,10604
Fresh Vegetables,156,perishable goods,Small Refrigerated Van,421
Cows,7926,livestock,10 wheeler Livestock Truck,8825
Leafy Greens,2831,perishable goods,Small Refrigerated Truck,3822
Leafy Greens,6082,perishable goods,Large Refrigerated Truck,7240
Cows,4189,livestock,Large Livestock Truck,4886
Pigs,11331,livestock,10 wheeler Livestock Truck,12495
Vegetables,3401,crops,Heavy Duty Pickup Truck,4335
Pigs,662,livestock,Small Livestock Truck,992
Goats,3955,livestock,Large Livestock Truck,4261
Cows,9094,livestock,10 wheeler Livestock Truck,10906
Fruits,13616,crops,10 Wheeler Dump Truck,14793
Milk,261,perishable goods,Small Refrigerated Van,1770
Rice,2774,crops,Elf Truck,4650
Meat,2122,perishable goods,Small Refrigerated Truck,3443
Frozen Fish,7553,perishable goods,Large Refrigerated Truck,9198
Leafy Greens,10085,perishable goods,10 wheeler Reefer Truck,11289
Eggs,6803,perishable goods,Large Refrigerated Truck,6931
Fresh Vegetables,8089,perishable goods,Large Refrigerated Truck,9849
Vegetables,14663,crops,10 Wheeler Dump Truck,15785
Rice,5610,crops,Dropside Truck,6183
Meat,750,perishable goods,Small Refrigerated Van,899
Milk,2142,perishable goods,Small Refrigerated Truck,2330
Meat,5343,perishable goods,Large Refrigerated Truck,6006
Chickens,1569,livestock,Medium Livestock Truck,2036
Eggs,10729,perishable goods,10 wheeler Reefer Truck,11999
Frozen Fish,10494,perishable goods,10 wheeler Reefer Truck,11344
Rice,10538,crops,10 Wheeler Cargo Truck,11092
Cows,10104,livestock,10 wheeler Livestock Truck,12042
Frozen Fish,8377,perishable goods,Large Refrigerated Truck,8710
Eggs,8350,perishable goods,Large Refrigerated Truck,9034
Cows,3721,livestock,Large Livestock Truck,5486
Eggs,4674,perishable goods,Medium Refrigerated Truck,6215
Cows,2702,livestock,Medium Livestock Truck,3719
Fruits,11743,crops,10 Wheeler Dump Truck,12080
Eggs,7073,perishable goods,Large Refrigerated Truck,8486
Frozen Fish,4191,perishable goods,Medium Refrigerated Truck,5438
Goats,4207,livestock,Large Livestock Truck,5678
Meat,4764,perishable goods,Medium Refrigerated Truck,4995
Meat,10702,perishable goods,10 wheeler Reefer Truck,11270
Rice,8648,crops,10 Wheeler Cargo Truck,9043
Pigs,7539,livestock,10 wheeler Livestock Truck,7784
Goats,269,livestock,Small Livestock Truck,1573
Frozen Fish,8891,perishable goods,Large Refrigerated Truck,10442
Rice,10891,crops,10 Wheeler Cargo Truck,12236
Eggs,3871,perishable goods,Medium Refrigerated Truck,4017
Fruits,8474,crops,10 Wheeler Cargo Truck,8913
Corn,7692,crops,Dropside Truck,8949
Vegetables,9000,crops,Dropside Truck,9584
Rice,1898,crops,Elf Truck,2117
Fruits,7296,crops,Dropside Truck,7923
Milk,3906,perishable goods,Medium Refrigerated Truck,5222
Corn,4339,crops,Heavy Duty Pickup Truck,4855
Pigs,4196,livestock,Large Livestock Truck,6066
Eggs,10973,perishable goods,10 wheeler Reefer Truck,12815
Milk,6190,perishable goods,Large Refrigerated Truck,6328
Goats,3614,livestock,Large Livestock Truck,3967
Vegetables,2443,crops,Large Pickup Truck,3866
Fresh Vegetables,6998,perishable goods,Large Refrigerated Truck,8958
Fresh Vegetables,8000,perishable goods,Large Refrigerated Truck,9733
Meat,582,perishable goods,Small Refrigerated Van,1162
Cows,7387,livestock,10 wheeler Livestock Truck,8017
Cows,2569,livestock,Medium Livestock Truck,3346
Milk,6736,perishable goods,Large Refrigerated Truck,8164
Meat,9808,perishable goods,10 wheeler Reefer Truck,11042
Corn,4621,crops,Dropside Truck,6001
Milk,3289,perishable goods,Medium Refrigerated Truck,5178
Frozen Fish,9292,perishable goods,10 wheeler Reefer Truck,9576
Corn,12915,crops,10 Wheeler Dump Truck,14785
Pigs,506,livestock,Small Livestock Truck,1599
Goats,4359,livestock,Large Livestock Truck,5525
Milk,10319,perishable goods,10 wheeler Reefer Truck,10848
Corn,2790,crops,Large Pickup Truck,3678
Milk,869,perishable goods,Medium Refrigerated Van,2490
Fresh Vegetables,3401,perishable goods,Medium Refrigerated Truck,4188
Corn,13100,crops,10 Wheeler Dump Truck,13327
Vegetables,1176,crops,Small Pickup Truck,2122
Frozen Fish,1796,perishable goods,Small Refrigerated Truck,1932
Fresh Vegetables,2983,perishable goods,Small Refrigerated Truck,3377
Chickens,7755,livestock,10 wheeler Livestock Truck,9596
Pigs,3132,livestock,Large Livestock Truck,5119
Pigs,3879,livestock,Large Livestock Truck,4682
Frozen Fish,11310,perishable goods,10 wheeler Reefer Truck,11660
Fresh Vegetables,6487,perishable goods,Large Refrigerated Truck,8212
Leafy Greens,1815,perishable goods,Small Refrigerated Truck,1942
Goats,2605,livestock,Medium Livestock Truck,4523
Corn,8983,crops,Dropside Truck,9292
Leafy Greens,2890,perishable goods,Small Refrigerated Truck,3411
Corn,3104,crops,Elf Truck,4600
Frozen Fish,5327,perishable goods,Large Refrigerated Truck,6995
Vegetables,14099,crops,10 Wheeler Dump Truck,15965
Eggs,4964,perishable goods,Medium Refrigerated Truck,5960
Fresh Vegetables,10329,perishable goods,10 wheeler Reefer Truck,10498
Meat,8653,perishable goods,Large Refrigerated Truck,9755
Fruits,406,crops,Tricycle,1394
Pigs,4212,livestock,Large Livestock Truck,5498
Milk,2436,perishable goods,Small Refrigerated Truck,3783
Fruits,4480,crops,Heavy Duty Pickup Truck,6166
Leafy Greens,11769,perishable goods,10 wheeler Reefer Truck,12386
Leafy Greens,4419,perishable goods,Medium Refrigerated Truck,5531
Leafy Greens,10675,perishable goods,10 wheeler Reefer Truck,11807
Leafy Greens,2776,perishable goods,Small Refrigerated Truck,3294
Corn,1858,crops,Large Delivery Van,2225
Leafy Greens,10614,perishable goods,10 wheeler Reefer Truck,12529
Chickens,1159,livestock,Small Livestock Truck,1351
Fresh Vegetables,7476,perishable goods,Large Refrigerated Truck,8973
Frozen Fish,208,perishable goods,Small Refrigerated Van,1080
Frozen Fish,5131,perishable goods,Large Refrigerated Truck,5370
Cows,6487,livestock,Large Livestock Truck,7883
Vegetables,3551,crops,Heavy Duty Pickup Truck,4560
Fruits,12750,crops,10 Wheeler Dump Truck,13707
Leafy Greens,4261,perishable goods,Medium Refrigerated Truck,5078
Leafy Greens,926,perishable goods,Medium Refrigerated Van,2095
Eggs,7144,perishable goods,Large Refrigerated Truck,7724
Vegetables,6354,crops,Dropside Truck,6790
Frozen Fish,8676,perishable goods,Large Refrigerated Truck,8894
Meat,10586,perishable goods,10 wheeler Reefer Truck,11200
Goats,5539,livestock,Large Livestock Truck,6399
Frozen Fish,5321,perishable goods,Large Refrigerated Truck,6664
Pigs,11193,livestock,10 wheeler Livestock Truck,12555
Milk,8083,perishable goods,Large Refrigerated Truck,9306
Corn,3962,crops,Heavy Duty Pickup Truck,5363
Goats,8247,livestock,10 wheeler Livestock Truck,10205
Fruits,3744,crops,Heavy Duty Pickup Truck,4239
Vegetables,13395,crops,10 Wheeler Dump Truck,13509
Fresh Vegetables,7074,perishable goods,Large Refrigerated Truck,7396
Vegetables,4152,crops,Heavy Duty Pickup Truck,6095
Rice,8822,crops,Dropside Truck,10082
Chickens,4223,livestock,Large Livestock Truck,4597
Goats,3232,livestock,Large Livestock Truck,3730
Fresh Vegetables,7677,perishable goods,Large Refrigerated Truck,8496
Rice,8919,crops,Dropside Truck,9083
Eggs,1803,perishable goods,Small Refrigerated Truck,3610
Rice,6908,crops,Dropside Truck,8878
Fruits,1371,crops,Large Multicab,2403
Eggs,11789,perishable goods,10 wheeler Reefer Truck,12486
Corn,14123,crops,10 Wheeler Dump Truck,14426
Fresh Vegetables,6834,perishable goods,Large Refrigerated Truck,7638
Rice,5865,crops,Dropside Truck,7102
Goats,3188,livestock,Large Livestock Truck,3331
Meat,10418,perishable goods,10 wheeler Reefer Truck,11689
Fruits,1787,crops,Elf Truck,1962
Goats,1623,livestock,Medium Livestock Truck,2286
Chickens,656,livestock,Small Livestock Truck,1925
Meat,11280,perishable goods,10 wheeler Reefer Truck,12440
Frozen Fish,4286,perishable goods,Medium Refrigerated Truck,5666
Rice,361,crops,Tricycle,1749
Fruits,9258,crops,10 Wheeler Cargo Truck,11071
Corn,9712,crops,10 Wheeler Cargo Truck,10499
Corn,12141,crops,10 Wheeler Dump Truck,13447
Fruits,12905,crops,10 Wheeler Dump Truck,13613
Pigs,7605,livestock,10 wheeler Livestock Truck,9076
Leafy Greens,7634,perishable goods,Large Refrigerated Truck,8043
Eggs,4997,perishable goods,Medium Refrigerated Truck,5192
Fresh Vegetables,5621,perishable goods,Large Refrigerated Truck,6060
Vegetables,13161,crops,10 Wheeler Dump Truck,13426
Chickens,9978,livestock,10 wheeler Livestock Truck,11228
Meat,4213,perishable goods,Medium Refrigerated Truck,5962
Fresh Vegetables,3369,perishable goods,Medium Refrigerated Truck,4977
Cows,11239,livestock,10 wheeler Livestock Truck,12966
Frozen Fish,963,perishable goods,Medium Refrigerated Van,2863
Frozen Fish,1108,perishable goods,Medium Refrigerated Van,1560
Vegetables,12684,crops,10 Wheeler Dump Truck,14270
Fresh Vegetables,10857,perishable goods,10 wheeler Reefer Truck,11415
Chickens,3729,livestock,Large Livestock Truck,4751
Cows,3332,livestock,Large Livestock Truck,4321
Fruits,2007,crops,Large Pickup Truck,2410
Chickens,1469,livestock,Small Livestock Truck,2115
Fresh Vegetables,5982,perishable goods,Large Refrigerated Truck,7787
Cows,3529,livestock,Large Livestock Truck,5508
Corn,5356,crops,Dropside Truck,6464
Meat,7955,perishable goods,Large Refrigerated Truck,8454
Goats,5219,livestock,Large Livestock Truck,6946
Frozen Fish,2364,perishable goods,Small Refrigerated Truck,3458
Vegetables,8495,crops,Dropside Truck,9971
Corn,7464,crops,Dropside Truck,9402
Fruits,2646,crops,Elf Truck,4556
Vegetables,11837,crops,10 Wheeler Dump Truck,12017
Leafy Greens,3117,perishable goods,Medium Refrigerated Truck,3723
Goats,1468,livestock,Small Livestock Truck,1573
Fresh Vegetables,5065,perishable goods,Large Refrigerated Truck,5770
Pigs,1781,livestock,Medium Livestock Truck,3234
Meat,7900,perishable goods,Large Refrigerated Truck,9165
Goats,6110,livestock,Large Livestock Truck,7488
Meat,8967,perishable goods,Large Refrigerated Truck,10430
Leafy Greens,3573,perishable goods,Medium Refrigerated Truck,4301
Pigs,5295,livestock,Large Livestock Truck,5978
Leafy Greens,5119,perishable goods,Large Refrigerated Truck,6546
Chickens,5825,livestock,Large Livestock Truck,6104
Fresh Vegetables,7966,perishable goods,Large Refrigerated Truck,9210
Goats,514,livestock,Small Livestock Truck,725
Corn,8216,crops,Dropside Truck,9556
Fresh Vegetables,6553,perishable goods,Large Refrigerated Truck,7035
Corn,12585,crops,10 Wheeler Dump Truck,14141
Corn,1233,crops,Large Multicab,1488
Fruits,6051,crops,Dropside Truck,7913
Frozen Fish,3087,perishable goods,Medium Refrigerated Truck,4847
Leafy Greens,4647,perishable goods,Medium Refrigerated Truck,5247
Meat,10750,perishable goods,10 wheeler Reefer Truck,11056
Cows,3002,livestock,Large Livestock Truck,3533
Milk,1395,perishable goods,Large Refrigerated Van,3053
Meat,4012,perishable goods,Medium Refrigerated Truck,4247
Rice,2533,crops,Elf Truck,4021
Goats,6403,livestock,Large Livestock Truck,7408
Chickens,3748,livestock,Large Livestock Truck,4706
Rice,9481,crops,10 Wheeler Cargo Truck,11020
Rice,7474,crops,Dropside Truck,9023
Frozen Fish,6085,perishable goods,Large Refrigerated Truck,7742
Goats,4070,livestock,Large Livestock Truck,4810
Goats,2669,livestock,Medium Livestock Truck,2993
Eggs,5241,perishable goods,Large Refrigerated Truck,6721
Meat,4113,perishable goods,Medium Refrigerated Truck,4319
Pigs,426,livestock,Small Livestock Truck,2298
Fruits,2811,crops,Elf Truck,3231
Fresh Vegetables,11685,perishable goods,10 wheeler Reefer Truck,12435
Milk,7389,perishable goods,Large Refrigerated Truck,8374
Chickens,7825,livestock,10 wheeler Livestock Truck,8600
Vegetables,3183,crops,Large Pickup Truck,4111
Eggs,538,perishable goods,Small Refrigerated Van,951
Rice,8069,crops,Dropside Truck,8224
Rice,6896,crops,Dropside Truck,7278
Corn,13410,crops,10 Wheeler Dump Truck,13908
Chickens,5404,livestock,Large Livestock Truck,6113
Chickens,10123,livestock,10 wheeler Livestock Truck,11025
Leafy Greens,7268,perishable goods,Large Refrigerated Truck,7525
Pigs,68,livestock,Small Livestock Truck,2068
Corn,7855,crops,Dropside Truck,9589
Corn,1049,crops,Small Pickup Truck,2569
Fruits,10251,crops,10 Wheeler Cargo Truck,11306
Pigs,1455,livestock,Small Livestock Truck,2234
Frozen Fish,3375,perishable goods,Medium Refrigerated Truck,4004
Milk,164,perishable goods,Small Refrigerated Van,811
Frozen Fish,1529,perishable goods,Small Refrigerated Truck,2893
Corn,325,crops,Tricycle,707
Eggs,7498,perishable goods,Large Refrigerated Truck,8345
Frozen Fish,55,perishable goods,Small Refrigerated Van,663
Fresh Vegetables,4080,perishable goods,Medium Refrigerated Truck,5812
Leafy Greens,6428,perishable goods,Large Refrigerated Truck,7090
Chickens,2952,livestock,Medium Livestock Truck,4335
Meat,3627,perishable goods,Medium Refrigerated Truck,4880
Eggs,2012,perishable goods,Small Refrigerated Truck,3141
Fruits,5342,crops,Dropside Truck,6230
Goats,7641,livestock,10 wheeler Livestock Truck,9143
Meat,5848,perishable goods,Large Refrigerated Truck,7297
Milk,8510,perishable goods,Large Refrigerated Truck,10468
Meat,3790,perishable goods,Medium Refrigerated Truck,4386
Eggs,9030,perishable goods,10 wheeler Reefer Truck,9782
Meat,9892,perishable goods,10 wheeler Reefer Truck,11569
Leafy Greens,6115,perishable goods,Large Refrigerated Truck,6324
Milk,1480,perishable goods,Large Refrigerated Van,1688
Cows,8689,livestock,10 wheeler Livestock Truck,10115
Fresh Vegetables,10491,perishable goods,10 wheeler Reefer Truck,10867
Frozen Fish,6238,perishable goods,Large Refrigerated Truck,7686
Fresh Vegetables,4155,perishable goods,Medium Refrigerated Truck,5898
Fresh Vegetables,9271,perishable goods,10 wheeler Reefer Truck,9809
Eggs,8699,perishable goods,Large Refrigerated Truck,9266
Cows,6439,livestock,Large Livestock Truck,7188
Frozen Fish,5191,perishable goods,Large Refrigerated Truck,5576
Fruits,9511,crops,10 Wheeler Cargo Truck,11104
Chickens,1973,livestock,Medium Livestock Truck,3836
Eggs,6388,perishable goods,Large Refrigerated Truck,6876
Frozen Fish,3206,perishable goods,Medium Refrigerated Truck,3675
Chickens,4419,livestock,Large Livestock Truck,5301
Rice,1539,crops,Elf Truck,2989
Milk,3213,perishable goods,Medium Refrigerated Truck,3348
Cows,2041,livestock,Medium Livestock Truck,2542
Fruits,14240,crops,10 Wheeler Dump Truck,14717
Meat,1110,perishable goods,Medium Refrigerated Van,1541
Goats,8072,livestock,10 wheeler Livestock Truck,9032
Leafy Greens,3056,perishable goods,Medium Refrigerated Truck,3867
Leafy Greens,6490,perishable goods,Large Refrigerated Truck,7385
Rice,10459,crops,10 Wheeler Cargo Truck,12442
Chickens,1089,livestock,Small Livestock Truck,2635
Goats,7335,livestock,10 wheeler Livestock Truck,9209
Rice,11691,crops,10 Wheeler Dump Truck,12043
Chickens,5379,livestock,Large Livestock Truck,6413
Fruits,2477,crops,Elf Truck,3542
Milk,7604,perishable goods,Large Refrigerated Truck,9184
Pigs,1011,livestock,Small Livestock Truck,2448
Milk,5681,perishable goods,Large Refrigerated Truck,6921
Rice,8248,crops,10 Wheeler Cargo Truck,9283
Frozen Fish,11837,perishable goods,10 wheeler Reefer Truck,12095
Meat,4074,perishable goods,Medium Refrigerated Truck,5146
Meat,7922,perishable goods,Large Refrigerated Truck,9910
Leafy Greens,6041,perishable goods,Large Refrigerated Truck,7172
Pigs,963,livestock,Small Livestock Truck,2883
Fresh Vegetables,11981,perishable goods,10 wheeler Reefer Truck,12484
Chickens,1335,livestock,Small Livestock Truck,3102
Fresh Vegetables,3717,perishable goods,Medium Refrigerated Truck,4688
Leafy Greens,10036,perishable goods,10 wheeler Reefer Truck,10471
Corn,8813,crops,Dropside Truck,9001
Milk,2967,perishable goods,Small Refrigerated Truck,4399
Rice,2095,crops,Large Pickup Truck,3683
Fruits,13043,crops,10 Wheeler Dump Truck,14257
Leafy Greens,6047,perishable goods,Large Refrigerated Truck,6511
Leafy Greens,9371,perishable goods,10 wheeler Reefer Truck,10415
Goats,3197,livestock,Large Livestock Truck,4660
Meat,4387,perishable goods,Medium Refrigerated Truck,5674
Fresh Vegetables,1255,perishable goods,Large Refrigerated Van,1564
Leafy Greens,4226,perishable goods,Medium Refrigerated Truck,5052
Fruits,6591,crops,Dropside Truck,6825
Cows,3353,livestock,Large Livestock Truck,4647
Vegetables,10092,crops,10 Wheeler Cargo Truck,10322
Cows,7955,livestock,10 wheeler Livestock Truck,8618
Fruits,2053,crops,Large Pickup Truck,2532
Fruits,6627,crops,Dropside Truck,7618
Corn,8773,crops,10 Wheeler Cargo Truck,10129
Fruits,13275,crops,10 Wheeler Dump Truck,15131
Rice,5305,crops,Dropside Truck,6363
Vegetables,12225,crops,10 Wheeler Dump Truck,13046
Milk,4793,perishable goods,Medium Refrigerated Truck,6285
Pigs,6195,livestock,Large Livestock Truck,7851
Pigs,8501,livestock,10 wheeler Livestock Truck,9529
Meat,7484,perishable goods,Large Refrigerated Truck,8692
Vegetables,3513,crops,Heavy Duty Pickup Truck,4619
Cows,11250,livestock,10 wheeler Livestock Truck,12335
Vegetables,14563,crops,10 Wheeler Dump Truck,16137
Rice,13388,crops,10 Wheeler Dump Truck,15313
Pigs,11029,livestock,10 wheeler Livestock Truck,11789
Goats,1445,livestock,Small Livestock Truck,2014
Chickens,7868,livestock,10 wheeler Livestock Truck,8166
Eggs,4999,perishable goods,Medium Refrigerated Truck,6475
Cows,1403,livestock,Small Livestock Truck,2075
Fruits,369,crops,Tricycle,566
Pigs,5525,livestock,Large Livestock Truck,6473
Milk,5368,perishable goods,Large Refrigerated Truck,7140
Vegetables,2000,crops,Elf Truck,2357
Meat,936,perishable goods,Medium Refrigerated Van,1104
Meat,5466,perishable goods,Large Refrigerated Truck,7317
Eggs,10959,perishable goods,10 wheeler Reefer Truck,11456
Vegetables,1584,crops,Large Delivery Van,1890
Leafy Greens,10368,perishable goods,10 wheeler Reefer Truck,11512
Corn,9527,crops,10 Wheeler Cargo Truck,9928
Rice,9425,crops,10 Wheeler Cargo Truck,10097
Chickens,1612,livestock,Medium Livestock Truck,1816
Rice,9778,crops,10 Wheeler Cargo Truck,11124
Fresh Vegetables,8226,perishable goods,Large Refrigerated Truck,10141
Frozen Fish,3822,perishable goods,Medium Refrigerated Truck,4115
Eggs,2801,perishable goods,Small Refrigerated Truck,3267
Goats,3471,livestock,Large Livestock Truck,4816
Goats,4659,livestock,Large Livestock Truck,6312
Fruits,7374,crops,Dropside Truck,8937
Meat,4533,perishable goods,Medium Refrigerated Truck,4915
Leafy Greens,9523,perishable goods,10 wheeler Reefer Truck,9892
Milk,1944,perishable goods,Small Refrigerated Truck,2346
Goats,6564,livestock,Large Livestock Truck,6790
Vegetables,11430,crops,10 Wheeler Cargo Truck,13329
Vegetables,6036,crops,Dropside Truck,6914
Goats,6593,livestock,Large Livestock Truck,7088
Cows,6404,livestock,Large Livestock Truck,6815
Frozen Fish,1723,perishable goods,Small Refrigerated Truck,3044
Vegetables,9717,crops,10 Wheeler Cargo Truck,11117
Fresh Vegetables,10011,perishable goods,10 wheeler Reefer Truck,11531
Eggs,6880,perishable goods,Large Refrigerated Truck,7882
Cows,6272,livestock,Large Livestock Truck,8095
Cows,2375,livestock,Medium Livestock Truck,3097
Meat,10954,perishable goods,10 wheeler Reefer Truck,11190
Fruits,1415,crops,Large Delivery Van,3262
Fruits,6696,crops,Dropside Truck,8539
Meat,11781,perishable goods,10 wheeler Reefer Truck,12174
Milk,4763,perishable goods,Medium Refrigerated Truck,6320
Frozen Fish,2616,perishable goods,Small Refrigerated Truck,4134
Chickens,11183,livestock,10 wheeler Livestock Truck,11727
Fruits,8157,crops,10 Wheeler Cargo Truck,9553
Goats,11904,livestock,10 wheeler Livestock Truck,12543
Vegetables,8997,crops,Dropside Truck,9867
Pigs,6074,livestock,Large Livestock Truck,6776
Chickens,5725,livestock,Large Livestock Truck,5877
Vegetables,8523,crops,10 Wheeler Cargo Truck,9152
Goats,8330,livestock,10 wheeler Livestock Truck,9159
